,station_name,station_id,station_longitude,station_latitude,station_altitude,date,temperature_max,temperature_min,temperature_mean,precipitation
2410179,MAHABAD,19149.0,52.22,33.52,995.0,2020-10-31 00:00:00,28.9,8.6,18.75,
2410796,MAHABAD,40726.0,45.71527778,36.75333333,1351.8,2000-01-01 00:00:00,12.0,-3.4,3.1,0.0
2419025,MAHALLAT,40891.0,50.48333333,33.88888889,1622.0,2006-01-01 00:00:00,7.6,-5.0,0.8,0.0
2425062,MAHAN,19650.0,57.23,30.03,1918.0,2019-12-04 00:00:00,14.9,,8.1,
2425797,MAHDASHT,18422.0,53.0,36.51666667,118.0,2011-01-01 00:00:00,15.0,6.0,10.5,
2427618,MAHDISHAHR,18719.0,53.35,35.73,1740.0,2000-01-01 00:00:00,9.4,0.4,4.9,
2435702,MAHIDASHT,19010.0,46.85,34.28,1370.0,2000-01-01 00:00:00,17.4,-6.8,5.3,
2443679,MAHNESHAN,40715.0,47.68388889,36.74,1284.5,2001-06-01 00:00:00,29.6,12.6,23.4,0.0
2451391,MAHNESHAN-ZANJAN,18337.0,47.6667,36.7667,1273.0,2000-01-01 00:00:00,14.4,0.4,7.4,
2451908,MAKANGAN MANOOJAN,19923.0,57.5,27.43,340.0,2000-01-01 00:00:00,26.5,5.5,16.0,
2459658,MAKU,40701.0,44.39166667,39.37944444,1411.2,2000-01-01 00:00:00,10.4,-1.8,3.2,0.0
2467887,MALAYER,40775.0,48.85694444,34.24916667,1776.5,2000-01-01 00:00:00,15.2,-2.2,5.4,0.0
2476116,MALEKAN,18251.0,46.0833,37.15,1302.0,2004-01-01 00:00:00,2.8,-3.0,-0.1,
2477211,MALEKAN,99284.0,46.08333333,37.15,1302.0,2008-02-01 00:00:00,1.6,-7.0,-3.3,0.6
2482487,MALEKSHAHI,19163.0,46.6,33.41,1432.0,2018-02-10 00:00:00,,,11.5,0.0
2484039,MAL KHALIFEH,19526.0,51.25,31.28,1762.0,2000-01-01 00:00:00,16.6,-4.2,6.2,
2491111,MANEH-VA-SAMALQAN,99262.0,56.86027778,37.50805556,890.0,2006-07-01 00:00:00,29.8,19.4,25.3,0.4
2496967,MANJIL,40720.0,49.40972222,36.72916667,338.3,2000-01-01 00:00:00,20.2,3.8,10.8,0.0
2505196,MARAGHEH,18209.0,46.27,37.4,1477.0,2004-01-01 00:00:00,4.0,-10.6,-3.3,
2511269,MARAGHEH-SYNOPTIC,40713.0,46.14583333,37.3475,1344.0,2000-01-01 00:00:00,15.0,2.0,6.9,0.0
2519498,MARAND,99220.0,45.76666667,38.41666667,1550.0,2000-01-01 00:00:00,12.6,1.6,7.3,0.0
2527727,MARAVEHTAPPEH,40721.0,55.94333333,37.80166667,460.0,2000-01-01 00:00:00,15.0,4.6,9.4,0.0
2535956,MARIVAN,40750.0,46.15138889,35.49694444,1287.0,2000-01-01 00:00:00,18.0,-3.4,8.1,0.0
2541522,MARIVAN,18778.0,46.1667,35.5,1465.0,2015-03-29 00:00:00,11.0,3.8,7.4,
2544188,MARKAZ-E-CHOGHA,19046.0,49.5667,34.0833,1690.0,2000-01-01 00:00:00,12.5,-6.0,3.25,
2547048,MARKAZ TAHGHIGHAT QOM,18946.0,50.9,34.68,920.0,2019-08-04 00:00:00,,,37.0,
2548114,MARVAST,40840.0,54.20055556,30.40416667,1547.0,2000-01-01 00:00:00,15.0,-4.6,6.5,0.0
2556343,MASHHAD,40745.0,59.63111111,36.23638889,999.0,2000-01-01 00:00:00,17.6,0.0,7.9,0.0
2564572,MASJEDSOLEYMAN,40812.0,49.24083333,31.98333333,320.5,2000-01-01 00:00:00,25.2,8.4,14.9,0.0
2572801,MASULEH,99281.0,48.98333333,37.15,1081.0,2006-06-01 00:00:00,24.0,15.6,21.4,0.0
2578687,MAYAMEY,18457.0,55.7333,36.4333,1120.0,2000-01-01 00:00:00,7.0,-5.0,1.0,
2581602,MAYAMEY,99336.0,55.6331,36.4142,1000.0,2012-09-01 00:00:00,31.8,19.2,26.7,0.0
2585233,MAZOO,19253.0,48.52,32.83,450.0,2000-01-01 00:00:00,25.5,7.0,16.25,
2591023,MAZRAEHARTESH,18255.0,54.6,37.13,13.0,2000-01-01 00:00:00,11.5,6.0,8.75,
2599240,MAZRAEHPARDICDANESHGAH,18326.0,54.33,36.84,88.0,2019-01-01 00:00:00,13.2,1.8,7.5,
2600205,MEHMANAK,18153.0,56.86,37.51,886.0,2011-03-01 00:00:00,3.4,0.4,1.9,
2604083,MEHRAN,40781.0,46.17583333,33.11472222,150.0,2004-07-01 00:00:00,45.0,23.6,37.8,0.0
2610668,MEHRESTAN,40874.0,61.66666667,27.13333333,1271.0,2017-04-30 00:00:00,,,28.9,0.0
2612490,MEHRIZ,99528.0,54.43666667,31.59305556,1520.0,2003-01-01 00:00:00,10.6,3.6,7.2,0.0
2619623,MESHKIN DASHT,18703.0,50.96,35.76,1289.0,2019-02-02 00:00:00,,,10.4,
2620857,MESHKINSHAHR,40705.0,47.67777778,38.375,1560.6,2000-01-01 00:00:00,17.6,6.0,10.6,0.0
2629086,MEYBOD,99511.0,53.98361111,32.21805556,1108.0,2002-04-01 00:00:00,24.6,4.4,17.6,0.0
2636494,MEYMEH,99447.0,51.16666667,33.43333333,1980.0,2000-01-01 00:00:00,14.0,-7.0,6.8,0.0
2644723,MIANAB,19414.0,48.48,31.8,40.0,2000-02-01 00:00:00,13.5,3.5,8.5,
2649248,MIANDOAB,99292.0,46.05,36.96666667,1300.0,2002-02-01 00:00:00,5.0,-6.2,-0.9,
2656715,MIANEH,40716.0,47.7,37.45,1110.0,2000-01-01 00:00:00,13.2,-3.6,4.0,0.0
2664944,MILAGERD,18948.0,49.22,34.63,1675.0,2000-01-01 00:00:00,15.0,-3.0,6.0,
2672906,MINAB,40876.0,57.08861111,27.10694444,29.6,2000-01-01 00:00:00,30.0,9.2,22.1,0.0
2681135,MINOODASHT,18236.0,55.3667,37.2167,190.0,2000-01-01 00:00:00,13.0,6.0,9.5,
2681591,MINUDASHT,99237.0,55.63333333,37.36666667,223.0,2014-02-19 00:00:00,19.0,7.2,12.5,0.0
2684657,MIRJAVEH,19803.0,61.45,29.0167,900.0,2004-01-01 00:00:00,12.2,-1.0,5.6,
2684901,MIRJAVEH,99608.0,61.43333333,29.01666667,836.0,2006-01-01 00:00:00,7.3,-3.5,3.1,0.0
2690938,MIRZA KOOCHEK KHAN,19581.0,48.2,30.77,3.0,2002-01-01 00:00:00,20.5,15.0,17.75,
2698035,MISHAN MAMASANI,19660.0,50.96,29.99,672.0,2018-06-21 00:00:00,,30.1,43.4,0.0
2698267,MOALEMKELAYEH,99303.0,50.4875,36.44722222,1629.2,2001-07-01 00:00:00,25.4,13.2,19.2,0.0
2705949,MOBARAKEH,99506.0,51.45138889,32.35888889,1680.2,2008-01-05 00:00:00,8.0,1.2,4.8,0.0
2711252,MOHAMAD SHHR (KSHAVARZI),19251.0,59.02,32.88,1410.0,2000-01-01 00:00:00,21.0,1.0,11.0,
2719331,MOHAMMAD ABAD KORIN,19744.0,60.37,28.93,1400.0,2011-01-01 00:00:00,20.0,-8.8,5.6,
2723085,MOHAMMDIEHBIRJAND,19308.0,59.0,32.5,1410.0,2014-06-04 00:00:00,31.0,18.6,24.8,
2723144,MOHR,19924.0,52.85,27.56,420.0,2020-05-20 00:00:00,40.1,25.6,32.85,0.0
2723922,MOJEN,18435.0,54.63,36.48,1970.0,2000-01-01 00:00:00,18.0,8.0,13.0,
2731651,MOKRIYAN GHARBI,18320.0,45.74,36.86,1332.0,2000-01-01 00:00:00,11.6,-4.0,3.8,
2737111,MOOCHESH,18885.0,47.15,35.05,1640.0,2002-01-01 00:00:00,11.5,6.0,8.75,
2744114,MOORCHE KHORT,19213.0,51.5,33.0833,1673.0,2000-01-01 00:00:00,17.2,-2.0,7.6,
2744784,MOSHIRAN,18039.0,47.53,38.68,683.0,2000-01-01 00:00:00,20.0,2.5,11.25,
2752371,MURCHEHKHORT,99449.0,51.48333333,33.08333333,1673.0,2002-01-01 00:00:00,13.0,4.6,9.3,0.0
2759858,NAEIN,40801.0,53.07861111,32.85166667,1573.7,2000-01-01 00:00:00,16.5,-0.6,10.9,0.0
2768087,NAHAVAND,99384.0,48.41222222,34.14361111,1677.8,2000-01-01 00:00:00,16.8,-0.4,9.0,0.0
2776287,NAJAFABAD,19286.0,51.3667,32.6333,1649.0,2000-01-01 00:00:00,20.0,2.0,11.0,
2777018,NAJAFABAD,99497.0,51.38805556,32.60444444,1636.2,2003-01-01 00:00:00,9.8,0.0,5.4,0.0
2784151,NAMIN,99232.0,48.49111111,38.42027778,1480.2,2008-01-01 00:00:00,-3.2,-8.2,-5.8,0.0
2789233,NAQADEH,99278.0,45.41305556,36.94555556,1307.0,2001-11-01 00:00:00,15.4,1.8,10.2,0.0
2796792,NARDIN,18274.0,55.77,37.03,1340.0,2000-01-01 00:00:00,14.0,-2.5,5.75,
2804578,NARMASHIR (AZIZ ABADE BAM),19807.0,58.71,28.93,755.0,2000-01-01 00:00:00,21.0,3.0,12.0,
2809957,NASEREDIN,19218.0,49.1167,33.0333,1182.0,2000-01-01 00:00:00,10.5,-3.0,3.75,
2810078,NASR,19568.0,58.0,30.93,308.0,2022-06-23 00:00:00,,,,
2810098,NASRABAD-PISHKOUH,19435.0,53.85,31.76,2278.0,2000-01-01 00:00:00,12.6,-2.8,4.9,
2815021,NATANZ,99421.0,51.9,33.53333333,1685.0,2000-01-01 00:00:00,12.4,2.6,8.9,0.0
2823250,NAULOS,18288.0,45.15,36.98,1420.0,2022-06-23 00:00:00,,,,
2823270,NAZARABAD,90220.0,50.55,35.933,1168.0,2021-10-28 00:00:00,21.0,4.6,11.5,0.0
2823528,NEHBANDAN,40827.0,60.03472222,31.54194444,1188.0,2000-01-01 00:00:00,20.2,1.0,12.5,0.0
2831757,NEOUR,18084.0,48.56,38.01,2477.0,2005-05-01 00:00:00,13.4,6.0,9.7,
2837813,NESAREH,18640.0,47.07,35.87,1755.0,2004-01-01 00:00:00,-1.0,-7.5,-4.25,
2843599,NEYRIZ,19783.0,54.3167,29.1831,1632.0,2000-01-01 00:00:00,15.0,-4.0,5.5,
2843641,NEYRIZ,40869.0,54.35222222,29.18666667,1632.0,2000-02-11 00:00:00,13.6,0.0,6.9,0.0
2854982,NEYSHABUR,40746.0,58.8,36.26666667,1213.0,2000-01-01 00:00:00,16.0,-3.2,8.1,0.0
2863211,NIKPEY,18323.0,48.19,36.85,1415.0,2018-07-03 00:00:00,,,34.8,
2864558,NIKSHAHR,19990.0,60.2167,26.2333,510.0,2000-03-01 00:00:00,33.0,17.5,25.25,
2865594,NIKSHAHR,40895.0,60.2,26.23333333,510.0,2006-01-01 00:00:00,17.0,7.8,13.3,0.0
2871631,NIR,19511.0,54.09,31.48,2467.0,2000-01-01 00:00:00,10.0,-3.0,3.5,
2874886,NIR,99233.0,48.02555556,38.0375,1593.0,2009-03-01 00:00:00,7.2,0.0,3.9,1.4
2884571,NIROGAH SHAHID RAJAEI,18545.0,50.3,36.13,1366.0,2000-01-01 00:00:00,16.5,-3.0,6.75,
2892634,NIRUGAHE HARARATI,18955.0,50.75,34.56,1022.0,2019-04-29 00:00:00,,,20.4,
2893794,NIYAR,18058.0,48.3,38.233,1332.0,2000-01-01 00:00:00,22.0,-4.8,8.6,
2898543,NODEH CHENARAN,18195.0,57.5833,37.4,1350.0,2000-01-01 00:00:00,14.5,2.8,8.65,
2902407,NODOOSHAN,19402.0,53.54,32.02,1994.0,2000-01-01 00:00:00,13.2,-4.0,4.6,
2910240,NOSRATABAD,19682.0,59.9667,29.85,1000.0,2000-01-01 00:00:00,19.0,1.5,10.25,
2914524,NOSRATABAD,99586.0,59.98333333,29.85,1127.0,2011-11-01 00:00:00,27.6,16.8,23.9,0.0
2918462,NOWSHAHR,40734.0,51.46694444,36.66138889,-20.9,2000-01-01 00:00:00,12.8,8.8,9.6,0.0
2926691,NURABAD (LORESTAN),40773.0,48.0,34.05,1859.0,2000-06-01 00:00:00,27.8,7.2,22.0,0.0
2934768,NURABAD (MAMASANI),99580.0,51.5375,30.07166667,972.0,2008-04-01 00:00:00,30.8,10.0,22.8,0.0
2939984,OMIDIYEH (AGHAJARI),40833.0,49.68777778,30.7425,27.0,2000-01-01 00:00:00,23.2,6.0,13.7,0.0
2948213,OMIDIYEH (AIR BASE),40830.0,49.5467,30.8342,34.9,2000-01-01 00:00:00,23.5,6.0,13.9,0.0
2953415,ORUMIYEH,40712.0,45.05527778,37.65861111,1328.0,2000-01-01 00:00:00,12.0,-2.4,3.0,0.0
2961644,ORZOEIYEH,99625.0,56.35,28.46,1055.0,2019-09-30 00:00:00,36.9,,30.9,
2962156,OSHNAVYEH,99288.0,45.13722222,37.05777778,1415.9,2006-01-01 00:00:00,5.6,-8.8,-0.3,0.0
2968193,OSHTORAN,18952.0,48.291,34.635,1795.0,2022-02-13 00:00:00,8.6,-0.5,4.05,
2968341,OSKOU,18097.0,46.15,37.92,1593.0,2019-05-05 00:00:00,18.0,,13.3,
2969474,OUNEB ALI,18077.0,46.45,38.0833,1735.0,2000-10-01 00:00:00,21.6,,,
2971321,PAHLEH-ZARINABAD,19222.0,46.88,33.02,768.0,2002-04-01 00:00:00,24.4,6.8,15.6,
2978519,PALAYESHGAH-ESFAHAN,19267.0,51.55,32.72,1673.0,2000-01-01 00:00:00,15.0,2.0,8.5,
2986435,PARDIS ABORIYHAN,18793.0,51.73,35.47,1180.0,2000-01-01 00:00:00,18.5,3.0,10.75,
2993374,PARI,18314.0,47.42,36.88,1747.0,2019-11-10 00:00:00,15.7,,8.3,
2994326,PARKMELLIGOLESTAN,18193.0,55.78,37.57,460.0,2017-01-01 00:00:00,17.5,3.3,10.4,
2996242,PARND,18220.0,49.5,37.2833,40.0,2000-01-01 00:00:00,14.0,5.5,9.75,
2997489,PARSABAD,40700.0,47.7789,39.6031,72.6,2000-01-01 00:00:00,13.4,4.6,7.8,0.0
3005718,PARSABAD (AIRPORT),88101.0,47.87722222,39.6075,77.8,2022-06-23 00:00:00,,,,
3005738,PARSIYAN,99665.0,53.04277778,27.21694444,59.0,2006-10-01 00:00:00,36.6,24.0,32.5,0.0
3011501,PARVAR,18609.0,53.5,35.9694,2080.0,2012-07-01 00:00:00,19.4,3.6,11.5,
3012351,PASARGAD,19639.0,53.167985,30.19474,1840.0,2020-06-01 00:00:00,34.5,19.3,26.9,
3013117,PASIKHAN,18284.0,49.45,37.29,45.0,2000-01-01 00:00:00,11.0,7.5,9.25,
3018575,PAVEH,18883.0,46.33,35.03,1494.0,2007-01-01 00:00:00,2.7,-8.3,-2.8,
3023763,PAYAM AIRPORT,88125.0,50.8331,35.7831,1259.8,2012-01-01 00:00:00,4.4,,3.0,
3025351,PELIMBARA,18141.0,49.07,37.6,6.0,2000-01-01 00:00:00,13.5,5.2,9.35,
3029235,PESHERT,18506.0,53.78,36.27,1520.0,2001-03-01 00:00:00,10.0,,,
3036291,PIRANSHAHR,40724.0,45.14666667,36.69777778,1443.5,2000-01-01 00:00:00,14.4,-1.0,5.3,0.0
3044489,PISH GHALEH,18123.0,56.99,37.65,643.0,2006-01-01 00:00:00,8.0,-3.0,2.5,
3049820,PISTECHAMANDIZIN,18593.0,51.42,36.05,2692.0,2019-12-04 00:00:00,-4.1,,-5.7,
3050530,POLDASHT,99203.0,45.06666667,39.31666667,792.0,2012-03-04 00:00:00,,,4.0,
3054312,POLDOKHTAR,40786.0,47.71916667,33.15444444,713.5,2000-01-01 00:00:00,21.4,6.2,14.0,0.0
3062539,POLE MIANGOZAR,18112.0,45.37,37.79,1312.0,2018-04-29 00:00:00,,11.5,12.2,
3063955,POLE ZAMANKHAN,19311.0,50.88305556,32.48305556,1883.0,2000-01-01 00:00:00,17.0,-4.0,6.5,
3070043,POLSEFID,99360.0,53.08333333,36.13333333,610.0,2003-01-01 00:00:00,16.4,2.0,9.0,0.0
3077176,QAEN,40793.0,59.17611111,33.74055556,1439.0,2000-01-01 00:00:00,16.0,-3.8,8.3,0.0
3085405,QARAHZIYAADDIN,99214.0,45.00777778,38.91027778,1170.9,2001-11-01 00:00:00,14.2,3.4,9.1,0.1
3092903,QASRESHIRIN,99435.0,45.60111111,34.52944444,375.9,2005-01-01 00:00:00,20.0,4.6,13.3,0.0
3099253,QAZVIN,40731.0,50.02,36.3193,1279.1,2000-01-01 00:00:00,16.4,1.0,6.7,0.0
3107482,QESHM (COASTAL),99675.0,56.28055556,26.94722222,12.8,2003-01-01 00:00:00,20.0,13.8,17.4,0.5
3114592,QESHM ISLAND,40880.0,55.89055556,26.75194444,6.0,2000-01-01 00:00:00,28.2,11.8,20.1,0.0
3122820,QIROKARZIN,99634.0,53.05194444,28.4675,746.0,2010-01-01 00:00:00,14.2,10.4,12.3,20.6
3127396,QOM,40770.0,50.85527778,34.77472222,879.1,2000-01-01 00:00:00,17.5,-3.0,6.2,0.0
3135625,QORVEH,40772.0,47.78638889,35.18,1906.0,2000-01-01 00:00:00,13.4,-3.8,4.6,0.0
3143854,QUCHAN,40740.0,58.45,37.11666667,1270.0,2000-01-01 00:00:00,17.4,-1.2,5.6,0.0
3152081,RABAR,19765.0,56.92,29.27,2285.0,2019-04-13 00:00:00,17.8,,10.2,
3152612,RAFSANJAN,19617.0,56.0167,30.4,1469.0,2000-01-01 00:00:00,15.0,-3.0,6.0,
3153706,RAFSANJAN,99562.0,55.93333333,30.38333333,0.0,2011-11-01 00:00:00,24.2,13.2,19.5,0.0
3157613,RAFSANJAN (AIRPORT),88170.0,56.04638889,30.30444444,1605.0,2000-01-01 00:00:00,14.6,0.0,6.5,0.0
3161955,RAMHORMOZ,40813.0,49.59638889,31.27277778,150.5,2000-01-01 00:00:00,24.4,9.4,17.6,0.0
3170184,RAMIAN,18286.0,55.13,36.99,291.0,2000-01-01 00:00:00,12.2,-4.6,3.8,
3174025,RAMSAR,40732.0,50.68333333,36.90444444,-20.0,2000-01-01 00:00:00,14.6,9.6,11.9,0.0
3182254,RASHT,40719.0,49.62416667,37.3225,-8.6,2000-01-01 00:00:00,14.2,4.0,8.2,0.0
3190483,RASHT (AGRICULTULAL),99272.0,49.645,37.2025,24.8,2005-01-01 00:00:00,12.4,1.4,7.5,0.0
3196885,RASK,99650.0,61.4,26.23333333,406.0,2009-03-01 00:00:00,34.4,17.8,28.3,0.0
3201767,RAVANSAR,40764.0,46.65,34.71666667,1380.0,2000-01-01 00:00:00,17.6,-0.2,7.5,0.0
3209994,RAVAR,99534.0,56.81,31.25,1192.0,2018-12-23 00:00:00,,,5.5,
3211262,RAVAR,19533.0,56.82,31.25,1192.0,2004-04-01 00:00:00,29.0,,,
3214926,RAYEN-BAM,19722.0,57.4333,29.4,2400.0,2000-11-01 00:00:00,24.0,1.5,12.75,
3219676,RAYN,19710.0,57.43,29.58,2217.0,2014-01-01 00:00:00,10.0,-9.5,0.25,
3220765,RAZ,99245.0,57.1014,37.9394,1279.0,2015-12-16 00:00:00,,,0.5,
3223141,RAZAN,99385.0,49.0167,35.35,1805.0,2011-11-23 00:00:00,,,6.0,
3227026,RAZEGHAN,18824.0,49.97,35.33,1829.0,2011-05-01 00:00:00,12.4,6.0,9.2,
3228153,RAZMIAN,99301.0,50.21138889,36.54111111,982.0,2014-02-12 00:00:00,11.1,,4.1,
3231184,REZVAN,99277.0,55.79,37.18,1356.0,2016-07-25 00:00:00,25.2,,20.7,0.0
3233352,REZVANSHAHR,18143.0,49.19027778,37.5666667,-26.0,2020-10-30 00:00:00,23.4,17.9,20.65,
3233951,RIGAN,19854.0,59.0,28.65,640.0,2019-01-14 00:00:00,20.8,,18.7,
3234382,RINEH,99340.0,52.17,35.88,2130.0,2021-01-10 00:00:00,12.0,,0.6,
3234930,RINEH-LARIJAN,18634.0,52.1667,35.9,1950.0,2000-01-01 00:00:00,15.0,2.2,8.6,
3238215,ROBAT-E-POSHTEBADAM,40790.0,55.55833333,33.01166667,1188.0,2000-01-01 00:00:00,16.2,2.2,11.0,0.0
3246444,ROBAT GHAREBIL,18210.0,56.32,37.35,1284.0,2017-01-01 00:00:00,11.8,1.9,6.85,
3248232,ROMESHKAN,99474.0,47.5,33.28333333,1089.0,2012-05-02 00:00:00,30.4,14.0,25.3,
3251955,ROODBARJONOB,19891.0,58.0,28.02,470.0,2019-12-04 00:00:00,25.7,,19.9,
3252897,ROSHTKHAR,18891.0,59.62,34.97,1150.0,2018-05-26 00:00:00,,,29.4,
3254313,RUDAN,99656.0,57.18555556,27.45916667,219.6,2003-01-01 00:00:00,13.8,10.4,12.4,1.7
3261446,RUDBAR,99317.0,49.42138889,36.81722222,205.0,2016-04-17 00:00:00,20.1,,15.8,
3263714,RUDSAR,99282.0,50.32472222,37.12472222,-22.0,2007-01-01 00:00:00,8.8,4.0,5.5,3.0
3269382,RYMALEH,99471.0,48.40333333,33.6375,1650.0,2006-03-01 00:00:00,17.4,3.0,13.2,0.0
3273141,SABZDASHT,19483.0,55.91,31.56,1873.0,2003-01-01 00:00:00,7.0,-8.0,-0.5,
3278046,SABZEVAR,40743.0,57.6494,36.2072,962.0,2000-01-01 00:00:00,18.8,4.4,9.7,0.0
3286275,SABZEVAR (AIRPORT),88122.0,57.59944444,36.17138889,938.0,2020-09-05 00:00:00,35.0,16.6,28.1,0.0
3286951,SAEENGHALEH,18486.0,49.06,36.32,1720.0,2019-11-10 00:00:00,17.2,,8.4,
3287900,SAFAIEH,19579.0,55.8,30.82,1380.0,2019-12-04 00:00:00,20.1,,12.6,
3288526,SAFASHAHR,40855.0,53.15611111,30.59083333,4.3,2006-01-01 00:00:00,,-10.8,-4.9,0.0
3294563,SAFI ABAD,18363.0,57.92,36.7,1224.0,2017-01-01 00:00:00,14.7,2.2,8.45,
3296349,SAFIABAD (DEZFUL),40794.0,48.43305556,32.25333333,82.9,2000-01-01 00:00:00,23.6,6.6,13.2,0.0
3304578,SAGHAND,19296.0,55.1833,32.55,1350.0,2000-01-01 00:00:00,14.0,-4.0,5.0,
3305977,SAGHDAR,19824.0,57.8833,28.8333,1610.0,2000-01-01 00:00:00,16.0,3.0,9.5,
3309166,SAHAND,40707.0,46.11666667,37.93333333,1641.0,2000-01-01 00:00:00,10.0,2.8,6.5,0.0
3317378,SAHNEH,18981.0,47.7,34.47,1382.0,2005-02-01 00:00:00,12.0,4.0,8.0,
3323468,SALAFCHEGAN,40887.0,50.46944444,34.48361111,1381.4,2003-01-01 00:00:00,11.5,-3.8,6.0,0.0
3330589,SALMAN FARSI,19560.0,48.47,30.98,5.0,2004-01-01 00:00:00,19.0,5.5,12.25,
3337034,SALMAN SHAHR,18475.0,51.1833,36.7,5.0,2005-01-01 00:00:00,14.4,6.4,10.4,
3339922,SALMAS,40722.0,44.84833333,38.21555556,1339.3,2001-11-01 00:00:00,15.0,-0.6,9.5,0.9
3347481,SAMAN,99504.0,50.87444444,32.43638889,2075.0,2002-03-01 00:00:00,13.6,-4.0,7.1,0.0
3354920,SAMIROM,99515.0,51.54861111,31.41777778,2459.9,2002-01-01 00:00:00,9.0,2.0,5.8,0.0
3362418,SANANDAJ,40747.0,47.01472222,35.25444444,1373.4,2000-01-01 00:00:00,16.6,-5.6,2.4,0.0
3370647,SANATI ESFAHAN,99496.0,51.53444444,32.71416667,1626.0,2006-01-01 00:00:00,2.8,-6.4,-0.9,0.0
3371397,SANKHAST,18260.0,56.85,37.11,973.0,2017-01-01 00:00:00,13.5,-0.5,6.5,
3373187,SAQEZ,40727.0,46.31111111,36.22166667,1522.8,2000-01-01 00:00:00,15.4,-10.0,0.5,0.0
3381416,SARAB,40710.0,47.53333333,37.93333333,1682.0,2000-01-01 00:00:00,14.2,-7.8,1.0,0.0
3389645,SARABLEH,99466.0,46.57888889,33.79194444,1045.0,2006-07-01 00:00:00,36.4,19.4,31.0,0.0
3395501,SARAB SHAHRAK,18753.0,47.37,35.62,1983.0,2000-01-01 00:00:00,7.0,-4.0,1.5,
3402302,SARAKHS,40741.0,61.14888889,36.53722222,278.0,2000-01-01 00:00:00,16.6,2.6,8.4,0.0
3410531,SARARUD (KERMANSHAH),99621.0,47.2925,34.33277778,1361.7,2003-06-01 00:00:00,28.0,13.8,23.5,0.0
3417510,SARAVAN,40878.0,62.31888889,27.39027778,1182.0,2000-01-01 00:00:00,18.8,2.0,11.0,0.0
3425739,SARAYAN,99401.0,58.46666667,33.86666667,1405.0,2011-01-01 00:00:00,17.2,2.2,11.4,0.0
3429950,SARAYEEN (ABEGARM),18070.0,48.083,38.15,1750.0,2000-01-01 00:00:00,11.2,0.5,5.85,
3430316,SARBAZ,19975.0,61.27,26.63,880.0,2000-01-01 00:00:00,25.0,3.5,14.25,
3437948,SARBISHEH,99499.0,59.78333333,32.61666667,1846.0,2011-01-01 00:00:00,15.6,-5.2,7.7,0.0
3442156,SARDASHT,40725.0,45.48583333,36.14833333,1556.8,2000-01-01 00:00:00,16.0,5.0,10.6,0.0
3450354,SARDASHT BASHAGERD,19984.0,57.9,26.45,720.0,2001-01-01 00:00:00,21.5,11.5,16.5,
3453577,SARDASHT DEZFUL,19305.0,48.83,32.5,485.0,2000-01-01 00:00:00,26.5,10.0,18.25,
3459434,SARDASHT-E-BASHAGARD,99680.0,57.88333333,26.45,737.0,2010-09-01 00:00:00,40.2,18.6,33.8,39.0
3463763,SARDOYEE,19769.0,57.33,29.22,2626.0,2018-11-05 00:00:00,,,8.2,
3465039,SAREYN,99231.0,48.08055556,38.14694444,1658.3,2003-01-01 00:00:00,3.6,-8.2,-1.1,0.0
3472172,SARI,40759.0,52.98666667,36.53666667,23.0,2000-01-01 00:00:00,13.4,10.2,11.0,0.0
3480401,SARI (DASHT-E-NAZ AIRPORT),88116.0,53.19527778,36.63694444,16.7,2006-01-01 00:00:00,10.4,-1.6,4.3,0.01
3486438,SARPOL-E-ZAHAB,40765.0,45.86666667,34.45,545.0,2000-01-01 00:00:00,23.0,3.0,11.5,0.0
3494654,SARVABAD,18828.0,46.37,35.32,1200.0,2006-02-14 00:00:00,8.0,4.8,6.4,
3498781,SARVESTAN,99597.0,53.22,29.28,1552.0,2016-05-05 00:00:00,33.8,17.2,28.6,0.0
3501022,SAVEH,99372.0,50.37444444,35.08,1111.6,2000-01-01 00:00:00,17.0,2.6,10.8,0.0
3509250,SELEN,18847.0,46.32,35.23,936.0,2004-01-01 00:00:00,7.4,0.4,3.9,
3516016,SEMNAN,40757.0,53.42138889,35.58833333,1127.0,2000-01-01 00:00:00,17.4,6.8,10.8,0.0
3524245,SEPIDAN,99566.0,52.0,30.23333333,2201.0,2005-01-01 00:00:00,9.8,4.8,8.4,0.0
3530647,SEPIDDASHT,99501.0,48.88555556,33.21416667,1021.0,2009-05-01 00:00:00,25.8,14.0,20.2,6.0
3535468,SHABANKAREH,19751.0,51.0,29.4667,35.0,2000-01-01 00:00:00,26.0,4.5,15.25,
3535681,SHABESTAR,99227.0,45.68333333,38.18333333,1350.0,2012-03-04 00:00:00,2.0,,1.0,
3539463,SHADEGAN,99456.0,48.64166667,30.65722222,3.0,2008-06-01 00:00:00,45.0,26.4,39.5,0.0
3544618,SHAHDAD,19615.0,57.7167,30.4167,400.0,2001-01-01 00:00:00,14.0,5.0,9.5,
3545318,SHAHDAD,40843.0,57.6817,30.4117,482.0,2003-01-01 00:00:00,14.2,4.2,11.4,0.0
3552631,SHAHID GHORVEH (KOMITE KESHAVARZI),19292.0,51.4333,32.6,1612.0,2005-01-01 00:00:00,14.5,-1.0,6.75,
3553238,SHAHINDEZH,99314.0,46.576104,36.666702,1395.0,2006-10-01 00:00:00,29.0,14.0,22.3,0.0
3559000,SHAHMIRZAD,18711.0,53.3333,35.7667,1908.0,2000-01-01 00:00:00,12.6,1.0,6.8,
