,station_name,station_id,station_longitude,station_latitude,station_altitude,date,temperature_max,temperature_min,temperature_mean,precipitation
1592348,HAJIABAD (HORMOZGAN),40863.0,55.91055556,28.31194444,931.2,2000-01-01 00:00:00,23.6,3.8,16.7,0.0
1600577,HAJIABAD (SOUTH KHORASAN),99402.0,59.91666667,33.63333333,1447.0,2011-05-01 00:00:00,36.8,20.4,30.7,0.0
1604668,HAJI MAMDAN,18611.0,46.35,35.95,1826.0,2000-01-01 00:00:00,15.6,2.4,9.0,
1612658,HALAB,18496.0,48.07,36.3,1482.0,2018-08-15 00:00:00,36.6,,28.4,0.0
1614046,HALASHI,19044.0,47.08,34.1,1485.0,2011-01-01 00:00:00,10.8,2.0,6.4,
1617980,HAMEDAN (AIRPORT),40768.0,48.53472222,34.86944444,1740.8,2000-01-01 00:00:00,13.6,-5.0,2.6,0.0
1626209,HAMEDAN (NOZHEH),40767.0,48.6903,35.1953,1679.7,2000-01-01 00:00:00,13.0,-8.0,0.6,0.0
1631431,HAMGIN,19420.0,51.47,31.9,2151.0,2000-01-01 00:00:00,17.0,-6.5,5.25,
1638980,HAMIDIYEH,19492.0,48.3167,31.1333,100.0,2000-03-01 00:00:00,26.0,5.0,15.5,
1643644,HAMON,19574.0,61.45,30.85,473.0,2018-06-21 00:00:00,42.4,29.7,36.4,0.0
1645061,HAMZAVI HANA,19543.0,51.7,31.15,2274.0,2000-01-01 00:00:00,17.0,-11.0,3.0,
1652293,HARAT,99574.0,54.38361111,30.02222222,1633.0,2004-01-01 00:00:00,11.0,-2.0,6.0,0.0
1659061,HARSIN,99431.0,47.55,34.26666667,1546.0,2008-01-01 00:00:00,9.8,0.6,6.1,0.3
1664281,HASANABAD (DARAB),40862.0,54.29611111,28.79111111,1107.0,2000-01-01 00:00:00,22.8,2.2,13.9,0.0
1672510,HASHTGERD,99396.0,50.74694444,36.00666667,1612.9,2006-01-01 00:00:00,2.6,-5.0,-0.6,0.0
1678547,HASHTROOD,18152.0,47.05,37.48,1735.0,2019-05-12 00:00:00,23.7,,16.6,0.0
1679695,HEIDARLOOSEIR (OROOMIEH),18155.0,45.033,37.483,1449.0,2000-01-01 00:00:00,10.5,2.0,6.25,
1680239,HENDIJAN,99537.0,49.70638889,30.24944444,3.0,2000-05-03 00:00:00,39.8,20.0,33.7,0.0
1688345,HERIS,99228.0,47.13333333,38.23333333,1950.0,2008-01-01 00:00:00,-2.0,-7.2,-5.2,0.01
1693652,HEYRAN,18052.0,48.60389,38.4025,25.0,2021-09-13 00:00:00,25.3,19.0,22.15,
1693916,HEZARKANIAN,18681.0,46.8,35.7667,1894.0,2000-01-01 00:00:00,11.0,-5.4,2.8,
1697752,HEZARKANIYAN,99382.0,46.8,35.75,1934.0,2011-11-26 00:00:00,-0.5,,-4.2,
1701025,HIRMAND,19546.0,61.78,31.13,483.0,2020-01-05 00:00:00,15.1,,12.2,
1701937,HOMAND (ABSARD),18738.0,52.83,35.65,1960.0,2000-01-01 00:00:00,14.0,0.5,7.25,
1709290,HOMIL,19068.0,46.77,33.92,1320.0,2009-02-01 00:00:00,12.8,-5.8,3.5,
1713012,HONARESTAN SANANDAJ,18825.0,47.0,35.3333,1462.0,2000-01-01 00:00:00,11.4,1.2,6.3,
1715173,HORAND,18038.0,47.38,38.86,1175.0,2020-05-20 00:00:00,21.1,14.4,17.75,0.0
1715947,HORMOZ,19953.0,56.45,27.0833,25.0,2007-01-01 00:00:00,20.2,13.4,16.8,
1717042,HOSEYNIYEH,99493.0,48.25388889,32.66972222,354.0,2005-01-01 00:00:00,21.0,8.0,14.0,0.0
1723444,HOSSEINAN,18859.0,54.57,35.23,948.0,2000-01-01 00:00:00,19.0,7.0,13.0,
1730850,ILAM,40780.0,46.39777778,33.58777778,1337.0,2000-01-01 00:00:00,20.8,6.8,12.9,0.0
1739079,ILBAGI (POLE ZAMANKHAN),99503.0,50.88,32.48,1883.0,2016-10-30 00:00:00,24.0,,18.6,0.0
1741155,IMAM KHOMEINI AIRPORT,40777.0,51.16666667,35.41666667,990.2,2004-01-01 00:00:00,8.4,-3.0,4.7,0.0
1747923,IMANABAD,99485.0,48.36666667,33.4,1500.0,2006-03-01 00:00:00,18.2,5.2,13.8,0.0
1753166,IMAN ABAD,19164.0,48.6,33.4,0.0,2020-10-04 00:00:00,30.2,12.9,21.55,
1753811,INCHEHBORUN,99271.0,54.71666667,37.45,7.0,2013-09-01 00:00:00,37.0,22.8,31.6,0.0
1757048,IRANSHAHR,40879.0,60.71833333,27.22944444,591.1,2000-01-01 00:00:00,24.8,6.0,14.6,0.0
1765277,IZADKHAST,99516.0,52.12888889,31.53,2188.0,2000-01-01 00:00:00,13.2,-2.4,6.0,0.0
1773506,IZAD SHAHR,99308.0,52.09,36.35,-26.0,2020-05-18 00:00:00,19.0,15.0,17.2,0.0
1774292,IZEH,99455.0,49.85444444,31.8475,767.0,2000-01-01 00:00:00,24.0,6.4,17.4,0.0
1782521,JABALBAREZ,19816.0,57.88,28.9,1900.0,2022-06-23 00:00:00,,,,
1782541,JAFAR ABAD,18928.0,50.5167,34.7667,1029.0,2005-01-01 00:00:00,18.0,4.0,11.0,
1784543,JAFARIEH,18934.0,50.5,34.76,,2018-08-06 00:00:00,41.4,,36.8,
1785972,JAHROM,99646.0,53.53444444,28.48416667,1082.0,2006-01-01 00:00:00,11.6,2.8,7.8,0.0
